Team,W,L,W%,Points Per Play,Yards Per Play,Passing Yards per Attempt,Rushing Yards Per Attempt,Offensive Score%,Turnover%,Expected Points,Yards per play allowed,Yards per pass attempt allowed,Yards per rush attempt allowed,Def Score%,Def TO%,Def Expected Points
Arizona Cardinals,4,13,0.24,0.297,4.8,5.1,4.3,32.1,12.8,-36.27,5.5,6.2,4.5,41.6,10.5,-81.73
Atlanta Falcons,7,10,0.41,0.361,5.4,6,4.9,39.5,11.4,73.69,5.7,6.8,4.4,43.5,10,-123.5
Baltimore Ravens,10,7,0.59,0.328,5.5,5.8,5.2,38.9,11.7,48.17,5.3,6.2,3.9,35.8,13.9,-32.38
Buffalo Bills,13,3,0.81,0.426,6.1,6.8,5.2,45,15.2,157.46,5.1,5.6,4.3,31,14.3,4.46
Carolina Panthers,7,10,0.41,0.356,5.3,6.1,4.6,35.3,9.6,-5.06,5.4,6.3,4.3,34.2,8.3,-52.04
Chicago Bears,3,14,0.18,0.328,5.3,5.1,5.4,34.3,12.7,-7.14,6.1,7.4,4.9,41.8,11.9,-169.13
Cincinnati Bengals,12,4,0.75,0.394,5.5,6.5,3.8,41.5,9.7,147.62,5.4,6.2,4.2,36.4,13.1,-20.02
Cleveland Browns,7,10,0.41,0.323,5.3,5.9,4.7,34.6,11.2,58.03,5.4,6,4.7,38.5,10.2,-57.92
Dallas Cowboys,12,5,0.71,0.41,5.4,6.4,4.3,41.5,10.8,112.34,5.1,5.7,4.4,33.5,16.2,31.77
Denver Broncos,5,12,0.29,0.266,5.1,5.7,4.4,28.6,10.6,-41.62,5,5.6,4.3,35.9,10.6,7.24
Detroit Lions,9,8,0.53,0.415,5.9,7,4.5,43.2,8,162.04,6.2,7,5.2,41.2,11.9,-159.66
Green Bay Packers,8,9,0.47,0.352,5.5,6.1,4.6,36.2,11.3,68.9,5.8,6.5,5,38.2,13.9,-63.86
Houston Texans,3,13,0.19,0.285,4.7,5.4,3.7,28.8,13.6,-120.59,5.7,6.3,5.1,35.2,11.9,-80.38
Indianapolis Colts,4,12,0.25,0.262,4.8,5.2,4.3,29.2,16.9,-110.46,5.2,6.1,4.1,36,10.2,-51.07
Jacksonville Jaguars,9,8,0.53,0.379,5.7,6.3,4.7,39.2,12.2,103.21,5.4,6.4,4.2,36.1,14.4,-52.27
Kansas City Chiefs,14,3,0.82,0.456,6.4,7.5,4.7,46.4,10.1,281,5.1,5.6,4.4,35.9,10.3,-65.59
Las Vegas Raiders,6,11,0.35,0.344,5.7,6.3,4.8,42.4,12.2,74.09,5.8,6.7,4.5,40.8,7.3,-132.08
Los Angeles Chargers,10,7,0.59,0.307,5.3,6.1,3.8,38.1,9.5,75.75,5.9,6.2,5.4,37.2,11.2,-84.56
Los Angeles Rams,5,12,0.29,0.377,4.8,5.3,4,33.5,13.1,-7.51,5.5,6.5,4.3,41,12.1,-75.59
Miami Dolphins,9,8,0.53,0.397,6.1,7.3,4.3,38.8,11.8,79.06,5.3,6,4.1,37.5,7.6,-66.41
Minnesota Vikings,13,4,0.76,0.38,5.5,6.2,4.1,36,11.7,89.64,5.9,6.9,4.5,41.1,12,-104
New England Patriots,8,9,0.47,0.362,5.3,6.1,4.3,32.8,12,-25.81,5,5.7,4.1,30.5,14.2,55.35
New Orleans Saints,7,10,0.41,0.325,5.6,6.7,4.3,31.7,12.9,17.3,5,5.4,4.5,34.8,7.1,-30.6
New York Giants,9,7,0.56,0.333,5.2,5.5,4.8,37.3,7.3,78.05,5.6,6,5.2,39.8,8.8,-125.22
New York Jets,7,10,0.41,0.276,5,5.6,4.2,29.9,11.9,-47.59,4.8,5.4,4.2,32.3,8.3,25.96
Philadelphia Eagles,14,3,0.82,0.435,5.9,7.1,4.6,42.5,10.2,226.96,4.8,4.9,4.6,32.4,15.1,20.73
Pittsburgh Steelers,9,8,0.53,0.278,4.9,5.6,4.1,35,9.6,42.17,5.5,6.5,4.2,37.3,13,-47.1
San Francisco 49ers,13,4,0.76,0.424,5.9,7.1,4.7,41.4,9.1,161.29,5,5.9,3.4,25.7,15.3,56.26
Seattle Seahawks,9,8,0.53,0.388,5.7,6.4,4.8,40.6,11.2,63.6,5.5,6.1,4.9,37.2,12.2,-113.17
Tampa Bay Buccaneers,8,9,0.47,0.264,5.1,5.9,3.4,32,10.3,1.03,5.1,5.6,4.5,33,10.2,-36.51
Tennessee Titans,7,10,0.41,0.3,5.1,5.8,4.4,27.9,10.5,-27.22,5.4,6.6,3.4,33.9,10.6,-52.12
Washington Commanders,8,8,0.50,0.282,4.9,5.8,4,29.4,11.7,-24.27,5.2,5.8,4.4,31.5,7.6,7.28
